# a virtual module list for leakage correction
# The coordinates for the HyCal is a right handed Cartesian frame, its z points
# surface to the back, and its origin is at the center on HyCal PbWO4 surface
#   name      type  size_x  size_y  size_z           x           y           z
   OUTER   PbGlass   38.15   38.15     450     161.935    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     200.085    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     238.235    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     276.385    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     314.535    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     352.685    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     390.835    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     428.985    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     467.135    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     505.285    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     543.435    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     581.585    -600.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     581.585    -371.825      -101.2
   OUTER   PbGlass   38.15   38.15     450     581.585    -409.975      -101.2
   OUTER   PbGlass   38.15   38.15     450     581.585    -448.125      -101.2
   OUTER   PbGlass   38.15   38.15     450     581.585    -486.275      -101.2
   OUTER   PbGlass   38.15   38.15     450     581.585    -524.425      -101.2
   OUTER   PbGlass   38.15   38.15     450     581.585    -562.575      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     581.925      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     543.775      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     505.625      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     467.475      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     429.325      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     391.175      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     353.025      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     314.875      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     276.725      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     238.575      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     200.425      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     162.275      -101.2
   OUTER   PbGlass   38.15   38.15     450     601.065     124.125      -101.2
