    REF_GAIN    0.521074     1.23093    0.246226           2
        G209     644.761     2.47207     4098.36     117.498           0
        G210     620.407     2.37217     3853.81     118.538           0
        G211     657.053     2.04782     2491.73     52.6899           0
        G212     462.931     1.63037     4722.56     137.553           0
        G213     379.188      1.7901     5021.35     111.652           0
        G214     329.876     1.62841     3771.72     102.576           0
        G215     346.292     1.63064     4716.19      123.58           0
        G216     457.052     1.51874     2789.71      89.666           0
        G235     598.417     3.24086     4500.56      136.25           0
        G236     545.215      2.5487     2840.87     90.9339           0
        G237     416.518     3.06224      2284.9     89.2014           0
        G238     398.375      3.0849     4830.39     135.907           0
        G239     455.939     2.55984     3971.28     110.147           0
        G240     463.467     2.16207      4324.9     156.211           0
        G241      530.78     2.14041     3588.82     83.4934           0
        G242     471.868     1.97869     3752.35     102.136           0
        G243     445.185     2.02374     4667.83     112.597           0
        G244     564.894      1.9715     3362.69     85.0492           0
        G245     391.467     1.94901     3957.22     92.6382           0
        G246     514.875     2.22962     4578.53     152.419           0
        G265     557.133     2.01804     4240.54     107.343           0
        G266     515.318     2.36331     1407.47     58.6562           0
        G267     519.954     3.00454     3523.58     114.335           0
        G268     559.478     2.08065     1650.83     73.4151           0
        G269       439.6     1.70629     4149.32     140.825           0
        G270     450.049     2.41477     5706.14     148.179           0
        G271      402.33     1.88022     3883.24     81.8854           0
        G272     419.373     1.82657     3501.46     82.5901           0
        G273     452.107     2.16803     3173.72     76.2231           0
        G274     510.938     2.03546     3096.21     75.6855           0
        G275     568.624     3.41918     3119.99     93.4124           0
        G276      408.58     3.19254     3912.29     103.332           0
        G295      467.23     2.57859     5151.14     114.367           0
        G296     470.388     2.98081     5055.46     119.409           0
        G297      587.56     2.19277     6189.36     160.591           0
        G298     631.549     2.82476     4602.93     158.793           0
        G299     465.546     2.41599     4391.43     103.156           0
        G300     548.211     2.38252     4001.35     114.116           0
        G301      617.25      3.2333     4697.74     92.8065           0
        G302     482.866     2.88681     2916.31     104.685           0
        G303     307.907     2.87591     3094.45     87.1304           0
        G304     432.961     2.72542     2068.97     72.6108           0
        G305     392.064     2.95751     3102.18     82.3291           0
        G306     434.767     2.43111     2709.77     79.5233           0
        G325     522.963     1.99763     5517.45     153.451           0
        G326     557.813     3.02946      4039.3     119.074           0
        G327     424.423     2.32341     4249.39     104.843           0
        G328     369.995      2.3259      4185.7     121.284           0
        G329     399.611     2.72386     4951.79     126.321           0
        G330     429.553     2.30147     6042.47     133.452           0
        G331     450.093      2.8923     4658.11     108.211           0
        G332     482.238     2.81035     2913.83     89.6018           0
        G333     641.018      2.9232      3616.5      80.143           0
        G334      526.88     2.47274     2859.16     74.1573           0
        G335     383.258     2.57809     3377.46     85.3771           0
        G336     326.266      2.6695     2382.11     88.7923           0
        G355     584.445     2.76598     4984.39     111.805           0
        G356     525.629     2.92781     7093.15     153.215           0
        G357     621.496     2.36186     5435.12     140.802           0
        G358     531.101     2.60215      4501.1     180.918           0
        G359     400.061     2.08222     3071.62      123.47           0
        G360      359.17      2.3812     4042.65     107.528           0
        G361     430.265     2.73903     3701.67     97.9852           0
        G362     499.858     2.69052     3415.16     88.9021           0
        G363     595.959     3.53325     2139.54     69.1943           0
        G364     572.064     3.11177     3080.91     133.609           0
        G365     461.151     3.45174     3117.82     93.2679           0
        G366      391.37     3.12822     3215.22     74.1647           0
        G385     416.754     2.64234     3951.77     122.499           0
        G386     436.897     2.89073     736.776     35.7801           0
        G387     549.077     3.25952     3806.57     112.366           0
        G388     548.998     3.59604     5212.77     110.179           0
        G389     581.178     2.43344     4387.51     132.455           0
        G390      595.06     2.68777     3213.32     104.273           0
        G391     491.195     3.18973     3260.67     90.0648           0
        G392     328.314     2.96695      3354.2     101.199           0
        G393     485.432     2.79564     3551.24     130.613           0
        G394     400.782      2.4496     3339.22     87.2437           0
        G395     517.476     3.35623      3254.6     72.1658           0
        G396     500.763     2.90431      4237.6     92.1206           0
        G415     490.107     3.40858     6356.47     163.704           0
        G416     486.988     3.31786     5052.34     123.426           0
        G417     479.132      2.7658     4040.72     134.371           0
        G418     502.746     3.16419     4070.12     108.792           0
        G419     521.768     2.67467     4556.31     127.715           0
        G420     516.373     2.56349     5645.59     119.818           0
        G421     508.653     2.88938      6351.7     136.903           0
        G422     615.413     2.46672     4703.42     102.904           0
        G423     355.872     2.86231     3948.62     101.979           0
        G424     429.975     2.73166      3301.8     85.1213           0
        G425      449.26     2.52872     3454.94     77.8826           0
        G426     474.013     2.52459     2485.27     58.6351           0
        G445     504.085     2.79437     5228.53     110.838           0
        G446     491.705     3.56341     5166.04     147.754           0
        G447     390.357     2.92963     4473.12     115.143           0
        G448     426.665     3.18623     3827.32     123.829           0
        G449     455.498     2.64964     4626.16     116.689           0
        G450     449.355      2.7777     4650.36     151.872           0
        G451     600.457     1.68782     3247.41     77.5472           0
        G452     483.562     1.66558     4636.57     109.986           0
        G453     647.186     1.54244     3710.11     88.1267           0
        G454     665.609     1.52929     4570.55     101.819           0
        G455     509.419     1.36858     5268.73     94.2582           0
        G456     386.776      1.3924     3825.25     91.7696           0
        G475      514.98     3.01758     6029.84     144.147           0
        G476     481.532      3.0334     5551.65     184.902           0
        G477     499.348     2.51177     4121.45     135.255           0
        G478      482.86     3.08606     3907.01      142.24           0
        G479     294.632     2.60604     2118.87     95.5865           0
        G480     440.819     2.79624     4299.77     130.924           0
        G481     491.687     1.44725     3604.22     102.347           0
        G482     301.926     1.29988     3943.48     90.3383           0
