    REF_GAIN           0     1.08786    0.228362           3
        G171     525.405     1.67486     2631.14     60.2706           0
        G172     342.498     1.33785     2494.71     65.0782           0
        G173     477.929     1.58101     2364.18     66.5282           0
        G174     604.908     1.61652     2526.18     70.7682           0
        G175     352.584     3.59287     2484.87      67.282           0
        G176     298.078     2.89359     2266.76      65.618           0
        G177     558.733     3.40497     1990.45     81.3633           0
        G178     442.747     3.17843     3140.62     82.2788           0
        G179     443.229     3.59052      2241.3     73.9298           0
        G180     462.492     2.65381     2219.54     53.7672           0
        G181     566.067     1.81649     2381.28      61.316           0
        G182      259.41     1.77297      1741.8     44.6879           0
        G183     466.557     1.87653     1847.79     53.5163           0
        G184     404.485     1.75779     2808.54      63.807           0
        G185     634.064     1.77354     2169.27     58.3647           0
        G186     597.599     1.83311     1760.24      47.414           0
        G205     478.598     3.21585     3234.36     78.8508           0
        G206     429.306     3.51069     2749.97     65.8554           0
        G207      426.89     2.86079     3341.55     95.1426           0
        G208     480.669       2.943     2396.35     66.1368           0
        G209     661.032     2.71773      2583.3     69.3636           0
        G210     622.751       2.549     2503.67     73.6331           0
        G211     659.183      2.1365     1560.99     28.3157           0
        G212      462.52     1.63275     2778.09     79.2437           0
        G213     369.389     1.86967     2889.71      68.487           0
        G214      324.55     1.73115     2295.37     63.0103           0
        G215     341.289     1.62512     2818.12     75.6781           0
        G216     453.178     1.58854      1717.5     53.5144           0
        G235     600.815      3.4641     2762.09     80.3674           0
        G236     545.265     2.71217     1718.65     51.4532           0
        G237     412.425     3.34071     1398.41     50.5805           0
        G238     392.081     2.80137     2808.92     82.9121           0
        G239     452.183      2.8711     2363.66     66.5724           0
        G240      460.57     2.37926     2525.61     92.7807           0
        G241      530.61     2.24486     2146.27     49.1688           0
        G242     472.564     2.15019     2179.14     58.4676           0
        G243     448.609     2.15966     2960.03     72.2915           0
        G244     569.652     2.00921     2004.13     47.7973           0
        G245     389.603     2.04134     2182.85     53.0816           0
        G246     516.584     2.24991     2644.78     85.2202           0
        G265     558.883     2.14105     2455.74      62.486           0
        G266     515.965     2.56372     969.607     30.8177           0
        G267     523.263      3.2326     2117.84     66.7253           0
        G268     564.154     2.41723     1131.21     36.9835           0
        G269     438.359     1.83626      2636.7     92.8183           0
        G270     451.853     2.64865     3353.68     88.4562           0
        G271     404.892     1.93694     2132.56     47.5023           0
        G272     421.946     1.89005     1957.19     46.3626           0
